fdc_id,data_type,description,food_category_id,publication_date
2705384,survey_fndds_food,"Milk, NFS",1004,2022-10-28
2705385,survey_fndds_food,"Milk, whole",1002,2022-10-28
2705386,survey_fndds_food,"Milk, reduced fat (2%)",1004,2022-10-28
2705387,survey_fndds_food,"Milk, low fat (1%)",1006,2022-10-28
2705388,survey_fndds_food,"Milk, fat free (skim)",1008,2022-10-28
2705389,survey_fndds_food,"Milk, lactose free, low fat (1%)",1006,2022-10-28
2705390,survey_fndds_food,"Milk, lactose free, fat free (skim)",1008,2022-10-28
2705391,survey_fndds_food,"Milk, lactose free, reduced fat (2%)",1004,2022-10-28
2705392,survey_fndds_food,"Milk, lactose free, whole",1002,2022-10-28
2705393,survey_fndds_food,Buttermilk,1002,2022-10-28
2705394,survey_fndds_food,Kefir,1006,2022-10-28
2705395,survey_fndds_food,Goat milk,1002,2022-10-28
2705396,survey_fndds_food,"Milk, dry, reconstituted, nonfat",1008,2022-10-28
2705397,survey_fndds_food,"Milk, dry, reconstituted, whole",1002,2022-10-28
2705398,survey_fndds_food,"Milk, evaporated, NS as to fat content",1002,2022-10-28
2705399,survey_fndds_food,"Milk, evaporated, whole",1002,2022-10-28
2705400,survey_fndds_food,"Milk, evaporated, reduced fat (2%)",1004,2022-10-28
2705401,survey_fndds_food,"Milk, evaporated, fat free (skim)",1008,2022-10-28
2705403,survey_fndds_food,"Non-dairy milk, NFS",1902,2022-10-28
2705404,survey_fndds_food,"Soy milk, sweetened",1902,2022-10-28
2705405,survey_fndds_food,"Soy milk, unsweetened",1902,2022-10-28
2705406,survey_fndds_food,"Soy milk, chocolate",1902,2022-10-28
2705407,survey_fndds_food,"Almond milk, sweetened",1902,2022-10-28
2705408,survey_fndds_food,"Almond milk, chocolate",1902,2022-10-28
2705409,survey_fndds_food,"Almond milk, unsweetened",1902,2022-10-28
2705410,survey_fndds_food,"Almond milk, NFS",1902,2022-10-28
2705411,survey_fndds_food,Rice milk,1902,2022-10-28
2705412,survey_fndds_food,Oat milk,1902,2022-10-28
2705413,survey_fndds_food,Coconut milk,1902,2022-10-28
2705414,survey_fndds_food,"Yogurt, NFS",1820,2022-10-28
2705415,survey_fndds_food,"Yogurt, Greek, NS as to type of milk or flavor",1822,2022-10-28
2705416,survey_fndds_food,"Yogurt, NS as to type of milk or flavor",1820,2022-10-28
2705417,survey_fndds_food,"Yogurt, NS as to type of milk, plain",1820,2022-10-28
2705418,survey_fndds_food,"Yogurt, whole milk, plain",1820,2022-10-28
2705419,survey_fndds_food,"Yogurt, low fat milk, plain",1820,2022-10-28
2705420,survey_fndds_food,"Yogurt, nonfat milk, plain",1820,2022-10-28
2705421,survey_fndds_food,"Yogurt, Greek, NS as to type of milk, plain",1822,2022-10-28
2705422,survey_fndds_food,"Yogurt, Greek, whole milk, plain",1822,2022-10-28
2705423,survey_fndds_food,"Yogurt, Greek, low fat milk, plain",1822,2022-10-28
2705424,survey_fndds_food,"Yogurt, Greek, nonfat milk, plain",1822,2022-10-28
2705425,survey_fndds_food,"Yogurt, NS as to type of milk, fruit",1820,2022-10-28
2705426,survey_fndds_food,"Yogurt, whole milk, fruit",1820,2022-10-28
2705427,survey_fndds_food,"Yogurt, low fat milk, fruit",1820,2022-10-28
2705428,survey_fndds_food,"Yogurt, nonfat milk, fruit",1820,2022-10-28
2705429,survey_fndds_food,"Yogurt, Greek, NS as to type of milk, fruit",1822,2022-10-28
2705430,survey_fndds_food,"Yogurt, Greek, whole milk, fruit",1822,2022-10-28
2705431,survey_fndds_food,"Yogurt, Greek, low fat milk, fruit",1822,2022-10-28
2705432,survey_fndds_food,"Yogurt, Greek, nonfat milk, fruit",1822,2022-10-28
2705433,survey_fndds_food,"Yogurt, NS as to type of milk, flavors other than fruit",1820,2022-10-28
